ID	DisplayName	Authors	Year	Title	Publication	PublicationLocation	WebLink
Pawlotsky_2016	Pawlotsky, 2016	Pawlotsky, J-M	2016	Hepatitis C Virus Resistance to Direct-Acting Antiviral Drugs in Interferon-Free Regimens	Gastroenterology	151(1):70-86	http://www.sciencedirect.com/science/article/pii/S0016508516300555
Sarrazin_2016	Sarrazin, 2016	Sarrazin, C	2016	The importance of resistance to direct antiviral drugs in HCV infection in clinical practice	Journal of Hepatology	64(2):486-504	http://www.sciencedirect.com/science/article/pii/S0168827815006297
Lontok_et_al_2015	Lontok et al., 2015	Lontok E, Harrington P, Howe A, Kieffer T, Lennerstrand J, Lenz O, McPhee F, Mo H, Parkin N, Pilot-Matias T, Miller V	2015	Hepatitis C virus drug resistance-associated substitutions: State of the art summary	Hepatology	62(5):1623-32	http://onlinelibrary.wiley.com/doi/10.1002/hep.27934/abstract
Lawitz_et_al_2016	Lawitz et al., 2016	Lawitz E, Matusow G, DeJesus E, Yoshida EM, Felizarta F, Ghalib R, Godofsky E, Herring RW, Poleynard G, Sheikh A, Tobias H, Kugelmas M, Kalmeijer R, Peeters M, Lenz O, Fevery B, De La Rosa G, Scott J, Sinha R and Witek J.	2016	Simeprevir plus sofosbuvir in patients with chronic hepatitis C virus genotype 1 infection and cirrhosis: A phase 3 study (OPTIMIST-2)	Hepatology	64(2):360-9	http://onlinelibrary.wiley.com/doi/10.1002/hep.28422/abstract
Foster_et_al_2015	Foster et al., 2015	Foster GR, Afdhal N, Roberts SK, Bräu N, Gane EJ, Pianko S, Lawitz E, Thompson A, Shiffman ML, Cooper C, Towner WJ, Conway B, Ruane P, Bourlière M, Asselah T, Berg T, Zeuzem S, Rosenberg W, Agarwal K, Stedman CA, Mo H, Dvory-Sobol H, Han L, Wang J, McNally J, Osinusi A, Brainard DM, McHutchison JG, Mazzotta F, Tran TT, Gordon SC, Patel K, Reau N, Mangia A, Sulkowski M; ASTRAL-2 Investigators; ASTRAL-3 Investigators	2015	Sofosbuvir and Velpatasvir for HCV Genotype 2 and 3 Infection	New England Journal of Medicine	373(27):2608-17	http://www.nejm.org/doi/full/10.1056/NEJMoa1512612
Poordad_et_al_2016	Poordad et al., 2016	Poordad F, Schiff ER, Vierling JM, Landis C, Fontana RJ, Yang R, McPhee F, Hughes EA, Noviello S, Swenson ES.	2016	Daclatasvir with sofosbuvir and ribavirin for hepatitis C virus infection with advanced cirrhosis or post-liver transplantation recurrence	Hepatology	63(5):1493-505	http://onlinelibrary.wiley.com/doi/10.1002/hep.28446/abstract
Luetkemeyer_et_al_2016	Luetkemeyer et al., 2016	Luetkemeyer AF, McDonald C, Ramgopal M, Noviello S, Bhore R, Ackerman P.	2016	12 Weeks of Daclatasvir in Combination With Sofosbuvir for HIV-HCV Coinfection (ALLY-2 Study): Efficacy and Safety by HIV Combination Antiretroviral Regimens	Clinical Infectious Diseases	62(12):1489-96	https://academic.oup.com/cid/article-lookup/doi/10.1093/cid/ciw163
Kwo_et_al_2017	Kwo et al., 2017	Kwo P, Gane EJ, Peng CY, Pearlman B, Vierling JM, Serfaty L, Buti M, Shafran S, Stryszak P, Lin L, Gress J, Black S, Dutko FJ, Robertson M, Wahl J, Lupinacci L, Barr E, Haber B	2017	Effectiveness of Elbasvir and Grazoprevir Combination, With or Without Ribavirin, for Treatment-Experienced Patients With Chronic Hepatitis C Infection	Gastroenterology	152(1):164-175	http://www.sciencedirect.com/science/article/pii/S0016508516351708
Zeuzem_et_al_2015a	Zeuzem et al., 2015a	Zeuzem S, Ghalib R, Reddy KR, Pockros PJ, Ben Ari Z, Zhao Y, Brown DD, Wan S, DiNubile MJ, Nguyen BY, Robertson MN, Wahl J, Barr E, Butterton JR	2015	Grazoprevir-Elbasvir Combination Therapy for Treatment-Naive Cirrhotic and Noncirrhotic Patients With Chronic Hepatitis C Virus Genotype 1, 4, or 6 Infection: A Randomized Trial	Annals of Internal Medicine	163(1):1-13	http://annals.org/aim/article/2279766/grazoprevir-elbasvir-combination-therapy-treatment-naive-cirrhotic-noncirrhotic-patients-chronic
Afdhal_et_al_2014a	Afdhal et al., 2014a	Afdhal N, Zeuzem S, Kwo P, Chojkier M, Gitlin N, Puoti M, Romero-Gomez M, Zarski JP, Agarwal K, Buggisch P, Foster GR, Bräu N, Buti M, Jacobson IM, Subramanian GM, Ding X, Mo H, Yang JC, Pang PS, Symonds WT, McHutchison JG, Muir AJ, Mangia A, Marcellin P; ION-1 Investigators.	2014	Ledipasvir and sofosbuvir for untreated HCV genotype 1 infection	New England Journal of Medicine	370(20):1889-98	http://www.nejm.org/doi/full/10.1056/NEJMoa1402454
Afdhal_et_al_2014b	Afdhal et al., 2014b	Afdhal N, Reddy KR, Nelson DR, Lawitz E, Gordon SC, Schiff E, Nahass R, Ghalib R, Gitlin N, Herring R, Lalezari J, Younes ZH, Pockros PJ, Di Bisceglie AM, Arora S, Subramanian GM, Zhu Y, Dvory-Sobol H, Yang JC, Pang PS, Symonds WT, McHutchison JG, Muir AJ, Sulkowski M, Kwo P; ION-2 Investigators.	2014	Ledipasvir and sofosbuvir for previously treated HCV genotype 1 infection	New England Journal of Medicine	370(16):1483-93	http://www.nejm.org/doi/full/10.1056/NEJMoa1316366
Kowdley_et_al_2014	Kowdley et al., 2014	Kowdley KV, Gordon SC, Reddy KR, Rossaro L, Bernstein DE, Lawitz E, Shiffman ML, Schiff E, Ghalib R, Ryan M, Rustgi V, Chojkier M, Herring R, Di Bisceglie AM, Pockros PJ, Subramanian GM, An D, Svarovskaia E, Hyland RH, Pang PS, Symonds WT, McHutchison JG, Muir AJ, Pound D, Fried MW; ION-3 Investigators	2014	Ledipasvir and sofosbuvir for 8 or 12 weeks for chronic HCV without cirrhosis	New England Journal of Medicine	370(20):1879-88	http://www.nejm.org/doi/full/10.1056/NEJMoa1402355
Naggie_et_al_2015	Naggie et al., 2015	Naggie S, Cooper C, Saag M, Workowski K, Ruane P, Towner WJ, Marks K, Luetkemeyer A, Baden RP, Sax PE, Gane E, Santana-Bagur J, Stamm LM, Yang JC, German P, Dvory-Sobol H, Ni L, Pang PS, McHutchison JG, Stedman CA, Morales-Ramirez JO, Bräu N, Jayaweera D, Colson AE, Tebas P, Wong DK, Dieterich D, Sulkowski M; ION-4 Investigators.	2015	Ledipasvir and Sofosbuvir for HCV in Patients Coinfected with HIV-1	New England Journal of Medicine	373(8):705-13	http://www.nejm.org/doi/full/10.1056/NEJMoa1501315
Zeuzem_et_al_2015b	Zeuzem et al., 2015b	Zeuzem S, Mizokami M, Pianko S, Mangia A, Han KH, Martin R, et al.	2015	Prevalence of Pre-Treatment NS5A Resistance Associated Variants in Genotype 1 Patients Across Different Regions Using Deep Sequencing and Effect on Treatment Outcome with LDV/SOF	Hepatology 2015	62:254A	http://onlinelibrary.wiley.com/doi/10.1002/hep.28181/pdf
Nelson_et_al_2015	Nelson et al., 2015	Nelson DR, Cooper JN, Lalezari JP, Lawitz E, Pockros PJ, Gitlin N, Freilich BF, Younes ZH, Harlan W, Ghalib R, Oguchi G, Thuluvath PJ, Ortiz-Lasanta G, Rabinovitz M, Bernstein D, Bennett M, Hawkins T, Ravendhran N, Sheikh AM, Varunok P, Kowdley KV, Hennicken D, McPhee F, Rana K, Hughes EA; ALLY-3 Study Team.	2015	All-oral 12-week treatment with daclatasvir plus sofosbuvir in patients with hepatitis C virusgenotype 3 infection: ALLY-3 phase III study	Hepatology	61(4):1127-35	http://onlinelibrary.wiley.com/doi/10.1002/hep.27726/abstract
Leroy_et_al_2016	Leroy et al., 2016	Leroy V, Angus P, Bronowicki JP, Dore GJ, Hezode C, Pianko S, Pol S, Stuart K, Tse E, McPhee F, Bhore R, Jimenez-Exposito MJ, Thompson AJ	2016	Daclatasvir, sofosbuvir, and ribavirin for hepatitis C virus genotype 3 and advanced liver disease: A randomized phase III study (ALLY-3+)	Hepatology	63(5):1430-41	http://onlinelibrary.wiley.com/doi/10.1002/hep.28473/abstract
Sulkowski_et_al_2014	Sulkowski et al., 2014	Sulkowski MS, Gardiner DF, Rodriguez-Torres M, Reddy KR, Hassanein T, Jacobson I, Lawitz E, Lok AS, Hinestrosa F, Thuluvath PJ, Schwartz H, Nelson DR, Everson GT, Eley T, Wind-Rotolo M, Huang SP, Gao M, Hernandez D, McPhee F, Sherman D, Hindes R, Symonds W, Pasquinelli C, Grasela DM; AI444040 Study Group.	2014	Daclatasvir plus sofosbuvir for previously treated or untreated chronic HCV infection	New England Journal of Medicine	370(15):211-221	http://www.nejm.org/doi/full/10.1056/NEJMoa1306218
